"Status","Name","Duration in ms","Description"
"passed","test_1_one_way_ticket#test_1_one_way_ticket","11445",""
"skipped","test_4_payment_amount#test_4_payment_amount","37282",""
"passed","test_2_total_amount#test_2_total_amount","31254",""
"skipped","test_3_arrival_time#test_3_arrival_time","37587",""
"passed","test_7_cheapest_ticket#test_7_cheapest_ticket","67263",""
"passed","test_8_from_dubai_to_agadir#test_8_from_dubai_to_agadir","8813",""
"passed","test_5_video_link#test_5_video_link","12613",""
"passed","test_9_complicated_route#test_9_complicated_route","23696",""
"passed","test_6_perfect_destination#test_6_perfect_destination","20171",""
